trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,reddot_onset_ttl,context2_onset_ttl,shape2_onset_ttl,reddot2_onset_ttl,question_onset_ttl,response_ttl
32,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,primary_first_img1,OFFICE,0.9765,1777604749.651151896,1777604750.331218004,1777604751.337015152,1777604752.345045090,1777604754.354628086,1777604755.370392084,1777604756.379317999,1777604758.405042887,1777604759.389520884
33,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,primary_first_img0,PETSHOP,0.8619,1777604761.393350840,1777604762.000513077,1777604763.005557060,1777604764.013549089,1777604766.022305012,1777604767.036847115,1777604768.045650005,1777604770.069032907,1777604770.936408997
34,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,secondary_first_img0,GARDEN,0.9513,1777604771.443507910,1777604772.036973000,1777604773.042874813,1777604774.057139874,1777604776.097352982,1777604777.145128012,1777604778.155322075,1777604780.202399969,1777604781.162128925
35,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom.png,secondary_first_img0,OFFICE,1.0023,1777604781.670074940,1777604782.298156977,1777604783.303421974,1777604784.312178850,1777604786.323268175,1777604787.339428186,1777604788.347563982,1777604790.371436119,1777604791.381720066
36,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,primary_first_img0,KITCHEN,0.7329,1777604791.888325214,1777604792.525209188,1777604793.530083179,1777604794.539853096,1777604796.549253941,1777604797.563519001,1777604798.572072983,1777604800.598925114,1777604801.342745066
37,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,primary_first_img1,BATHROOM,0.6369,1777604801.850178957,1777604802.496840000,1777604803.501770020,1777604804.510654926,1777604806.521464109,1777604807.537222862,1777604808.547456026,1777604810.574120998,1777604811.222516060
38,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,primary_first_img0,KITCHEN,0.6056,1777604811.727602005,1777604812.348080158,1777604813.353617907,1777604814.363386154,1777604816.372488976,1777604817.382556915,1777604818.391250849,1777604820.419283867,1777604821.033497095
39,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/rugby.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,secondary_first_img1,SPORTSFIELD,0.8175,1777604821.538476944,1777604822.155436039,1777604823.160049915,1777604824.170391083,1777604826.182219982,1777604827.204832077,1777604828.212143183,1777604830.242732048,1777604831.071441889
40,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/ball_slope.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/mountain1.png,primary_first_img1,MOUNTAIN,0.7098,1777604831.579705000,1777604832.292565107,1777604833.298434019,1777604834.307133913,1777604836.328261852,1777604837.358576059,1777604838.369159937,1777604840.421274185,1777604841.145812988
41,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/mosquito.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,primary_first_img1,GARDEN,4.9225,1777604841.653144121,1777604842.266650200,1777604843.270338058,1777604844.280741215,1777604846.305849075,1777604847.350475073,1777604848.356317997,1777604850.393730164,1777604855.329739094
42,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,primary_first_img0,SKY,1.1469,1777604855.836426973,1777604856.516465902,1777604857.520889044,1777604858.531369925,1777604860.542112112,1777604861.567775011,1777604862.576527834,1777604864.603050947,1777604865.760805845
43,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/birdcage.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/petshop1.png,secondary_first_img1,SPORTSFIELD,2.3310,1777604866.268485785,1777604866.912819862,1777604867.919085026,1777604868.935522079,1777604870.948906898,1777604871.968850851,1777604872.977107048,1777604875.006022930,1777604877.348989010
44,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,secondary_first_img1,BATHROOM,0.6326,1777604877.857141972,1777604878.478763103,1777604879.483031034,1777604880.493883848,1777604882.504853964,1777604883.519644022,1777604884.528353930,1777604886.556113958,1777604887.197658777
45,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/pan.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,secondary_first_img1,SPORTSFIELD,0.9514,1777604887.704444885,1777604888.315940142,1777604889.321924210,1777604890.332520008,1777604892.342054844,1777604893.362376928,1777604894.371542931,1777604896.425797224,1777604897.396238089
46,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sky.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden.png,secondary_first_img0,GARDEN,1.0451,1777604898.763632059,1777604899.666164875,1777604900.673786163,1777604901.681442022,1777604903.693917990,1777604904.727113962,1777604905.737299919,1777604907.786508083,1777604908.843667030
47,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/nail_cutters.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/bathroom1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,primary_first_img1,OFFICE,1.1288,1777604909.350517988,1777604909.990200996,1777604910.994180202,1777604912.004696131,1777604914.013765812,1777604915.036617994,1777604916.046915054,1777604918.155345917,1777604919.293467999
48,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/teacup.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen1.png,secondary_first_img1,OFFICE,0.7571,1777604919.798601866,1777604920.415436983,1777604921.419560909,1777604922.429389000,1777604924.439008951,1777604925.449867964,1777604926.457935810,1777604928.485897064,1777604929.255959034
49,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield1.png,primary_first_img1,GARDEN,0.8630,1777604931.668916941,1777604932.378994942,1777604933.383237123,1777604934.394407988,1777604936.407226086,1777604937.428776026,1777604938.437446833,1777604940.464519978,1777604941.337795019
50,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/contexts/sportsfield.png,secondary_first_img0,KITCHEN,0.9644,1777604941.845960855,1777604942.587172031,1777604943.593392849,1777604944.603729010,1777604946.614714146,1777604947.635775089,1777604948.645035982,1777604950.677896976,1777604951.651355982
