trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,reddot_onset_ttl,context2_onset_ttl,shape2_onset_ttl,reddot2_onset_ttl,question_onset_ttl,response_ttl
11,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sky1.png,primary_first_img1,SKY,2.1556,1777483347.561952114,1777483348.201836109,1777483349.210978985,1777483350.221181870,1777483352.230379105,1777483353.262198925,1777483354.272984982,1777483356.312406063,1777483358.468468904
12,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/pan.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield.png,primary_first_img0,SPORTSFIELD,0.5741,1777483358.977265835,1777483359.845546961,1777483360.851184130,1777483361.861268997,1777483363.875998974,1777483364.915450096,1777483365.928215027,1777483367.974862099,1777483368.549522877
13,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/mosquito.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden.png,secondary_first_img0,GARDEN,4.0405,1777483369.057038069,1777483378.029778004,1777483379.070004940,1777483380.077280998,1777483382.086654902,1777483383.121542931,1777483384.130650997,1777483386.164094925,1777483390.205314159
14,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/birdcage.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/petshop.png,secondary_first_img0,PETSHOP,3.0201,1777483390.710490942,1777483394.033987045,1777483395.071277142,1777483396.081300974,1777483398.090757847,1777483399.116261005,1777483400.126552105,1777483402.161472082,1777483405.182515860
15,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/teacup.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office.png,primary_first_img0,OFFICE,0.9162,1777483405.692888975,1777483407.373600960,1777483408.404664040,1777483409.415737152,1777483411.427000999,1777483412.474054813,1777483413.483696938,1777483415.518704891,1777483416.437104940
16,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/rugby.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield.png,secondary_first_img0,SPORTSFIELD,0.5954,1777483416.944356203,1777483418.742516041,1777483419.760101080,1777483420.797792912,1777483422.812667847,1777483423.845443010,1777483424.856416941,1777483426.885519981,1777483427.484471083
17,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/ball_slope.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/mountain.png,primary_first_img0,SPORTSFIELD,4.3992,1777483431.810629845,1777483435.401715994,1777483436.453750134,1777483437.477552891,1777483439.506995916,1777483440.548019886,1777483441.559994221,1777483443.611583948,1777483448.012525082
18,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office.png,secondary_first_img0,OFFICE,1.5913,1777483448.532644033,1777483451.207791090,1777483452.242219925,1777483453.265039206,1777483455.278629065,1777483456.302574158,1777483457.310709953,1777483459.359596968,1777483460.951471090
19,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/petshop.png,secondary_first_img0,PETSHOP,0.4355,1777483461.456261158,1777483463.563887119,1777483464.588074923,1777483465.594451904,1777483467.601449966,1777483468.642513990,1777483469.654190063,1777483471.676907063,1777483472.117259979
20,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/tunnelentrance.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield.png,primary_first_img0,GARDEN,2.1709,1777483472.621243954,1777483474.324310064,1777483475.345449924,1777483476.354799032,1777483478.367528915,1777483479.413353920,1777483480.423579931,1777483482.455147982,1777483484.626811981
21,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/umbrella.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sky1.png,secondary_first_img1,KITCHEN,0.8446,1777483485.134349108,1777483486.928097963,1777483487.947540998,1777483488.957957983,1777483490.970149040,1777483491.991525888,1777483493.001076937,1777483495.032282829,1777483495.877552032
22,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/bikewheel.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen1.png,primary_first_img1,KITCHEN,0.9115,1777483496.383923054,1777483498.170854807,1777483499.197488070,1777483500.209560156,1777483502.219750881,1777483503.247781038,1777483504.260017872,1777483506.301086903,1777483507.215377808
23,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/toiletpaper.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/bathroom.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office.png,primary_first_img0,OFFICE,1.1214,1777483507.721128941,1777483509.677356005,1777483510.705455065,1777483511.715993166,1777483513.735320091,1777483514.773097038,1777483515.782707930,1777483517.816184044,1777483518.938194036
