timestamp,trigger_code,event_label,trial_info
1777483411.426295996,phase2_reddot_offset,phase2_reddot_offset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483411.427000999,phase2_context2_onset,phase2_context2_onset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483412.473554850,phase2_context2_offset,phase2_context2_offset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483412.474054813,phase2_shape2_onset,phase2_shape2_onset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483413.483131886,phase2_shape2_offset,phase2_shape2_offset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483413.483696938,phase2_reddot2_onset,phase2_reddot2_onset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483415.493782997,phase2_reddot2_offset,phase2_reddot2_offset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483415.518704891,phase2_question_onset,phase2_question_onset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0 cat_a=KITCHEN cat_b=OFFICE
1777483416.437104940,phase2_response,phase2_response,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0 response=OFFICE
1777483416.437373877,phase2_question_offset,phase2_question_offset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483416.438406944,phase2_trial_iti_onset,phase2_trial_iti_onset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483416.942341805,phase2_trial_iti_offset,phase2_trial_iti_offset,trial=15 shape=teacup.bmp ctx1=kitchen.png ctx2=office.png variant=primary_first_img0
1777483416.944356203,phase2_fixation_onset,phase2_fixation_onset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483417.451515913,phase2_fixation_offset,phase2_fixation_offset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483418.742516041,phase2_context1_onset,phase2_context1_onset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483419.759495020,phase2_context1_offset,phase2_context1_offset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483419.760101080,phase2_shape_onset,phase2_shape_onset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483420.796392918,phase2_shape_offset,phase2_shape_offset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483420.797792912,phase2_reddot_onset,phase2_reddot_onset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483422.811900854,phase2_reddot_offset,phase2_reddot_offset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483422.812667847,phase2_context2_onset,phase2_context2_onset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483423.844639063,phase2_context2_offset,phase2_context2_offset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483423.845443010,phase2_shape2_onset,phase2_shape2_onset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483424.855611801,phase2_shape2_offset,phase2_shape2_offset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483424.856416941,phase2_reddot2_onset,phase2_reddot2_onset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483426.866774082,phase2_reddot2_offset,phase2_reddot2_offset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483426.885519981,phase2_question_onset,phase2_question_onset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0 cat_a=GARDEN cat_b=SPORTSFIELD
1777483427.484471083,phase2_response,phase2_response,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0 response=SPORTSFIELD
1777483427.484757900,phase2_question_offset,phase2_question_offset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483427.485308886,phase2_trial_iti_onset,phase2_trial_iti_onset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483427.990365028,phase2_trial_iti_offset,phase2_trial_iti_offset,trial=16 shape=rugby.bmp ctx1=garden.png ctx2=sportsfield.png variant=secondary_first_img0
1777483428.655477047,phase2_break_onset,phase2_break_onset,after_trial=16 total_trials=64
1777483431.778948069,phase2_break_enter,phase2_break_enter,
1777483431.779122829,phase2_break_offset,phase2_break_offset,
1777483431.810629845,phase2_fixation_onset,phase2_fixation_onset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
1777483432.315533161,phase2_fixation_offset,phase2_fixation_offset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
1777483435.401715994,phase2_context1_onset,phase2_context1_onset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
1777483436.451884031,phase2_context1_offset,phase2_context1_offset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
1777483436.453750134,phase2_shape_onset,phase2_shape_onset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
1777483437.476948023,phase2_shape_offset,phase2_shape_offset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
1777483437.477552891,phase2_reddot_onset,phase2_reddot_onset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
1777483439.505613089,phase2_reddot_offset,phase2_reddot_offset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
1777483439.506995916,phase2_context2_onset,phase2_context2_onset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
1777483440.547380924,phase2_context2_offset,phase2_context2_offset,trial=17 shape=ball_slope.bmp ctx1=sportsfield.png ctx2=mountain.png variant=primary_first_img0
